n,days,seed_inst,coverage_ratio,seed_sa,phys_id,part_time,is_exempt,hours,n_shifts,n_guardias,n_weekend,n_holiday
8,14,0,1.1,0,1,1.0,False,83.0,9,2,0,0
8,14,0,1.1,0,2,1.0,False,83.0,9,2,0,0
8,14,0,1.1,0,3,1.0,False,86.0,7,3,1,0
8,14,0,1.1,0,4,1.0,False,86.0,8,3,0,0
8,14,0,1.1,0,5,1.0,False,86.0,7,3,1,0
8,14,0,1.1,0,6,1.0,False,83.0,9,2,0,0
8,14,0,1.1,0,7,1.0,False,86.0,7,3,1,0
8,14,0,1.1,0,8,1.0,False,86.0,7,3,1,0
8,14,0,1.1,1,1,1.0,False,86.0,8,3,0,0
8,14,0,1.1,1,2,1.0,False,86.0,8,3,0,0
8,14,0,1.1,1,3,1.0,False,83.0,8,2,1,0
8,14,0,1.1,1,4,1.0,False,83.0,8,2,1,0
8,14,0,1.1,1,5,1.0,False,83.0,8,2,1,0
8,14,0,1.1,1,6,1.0,False,86.0,8,3,0,0
8,14,0,1.1,1,7,1.0,False,86.0,8,3,0,0
8,14,0,1.1,1,8,1.0,False,86.0,7,3,1,0
8,14,0,1.1,2,1,1.0,False,86.0,8,3,0,0
8,14,0,1.1,2,2,1.0,False,86.0,8,3,0,0
8,14,0,1.1,2,3,1.0,False,83.0,8,2,1,0
8,14,0,1.1,2,4,1.0,False,86.0,7,3,1,0
8,14,0,1.1,2,5,1.0,False,86.0,7,3,1,0
8,14,0,1.1,2,6,1.0,False,83.0,9,2,0,0
8,14,0,1.1,2,7,1.0,False,86.0,7,3,1,0
8,14,0,1.1,2,8,1.0,False,83.0,9,2,0,0
8,14,0,1.1,3,1,1.0,False,86.0,8,3,0,0
8,14,0,1.1,3,2,1.0,False,83.0,9,2,0,0
8,14,0,1.1,3,3,1.0,False,86.0,7,3,1,0
8,14,0,1.1,3,4,1.0,False,86.0,7,3,1,0
8,14,0,1.1,3,5,1.0,False,86.0,8,3,0,0
8,14,0,1.1,3,6,1.0,False,86.0,7,3,1,0
8,14,0,1.1,3,7,1.0,False,86.0,7,3,1,0
8,14,0,1.1,3,8,1.0,False,83.0,9,2,0,0
8,14,0,1.1,4,1,1.0,False,83.0,9,2,0,0
8,14,0,1.1,4,2,1.0,False,86.0,8,3,0,0
8,14,0,1.1,4,3,1.0,False,86.0,7,3,1,0
8,14,0,1.1,4,4,1.0,False,86.0,7,3,1,0
8,14,0,1.1,4,5,1.0,False,83.0,9,2,0,0
8,14,0,1.1,4,6,1.0,False,83.0,8,2,1,0
8,14,0,1.1,4,7,1.0,False,86.0,8,3,0,0
8,14,0,1.1,4,8,1.0,False,86.0,7,3,1,0
8,14,0,1.1,5,1,1.0,False,86.0,8,3,0,0
8,14,0,1.1,5,2,1.0,False,83.0,9,2,0,0
8,14,0,1.1,5,3,1.0,False,86.0,7,3,1,0
8,14,0,1.1,5,4,1.0,False,83.0,9,2,0,0
8,14,0,1.1,5,5,1.0,False,86.0,8,3,0,0
8,14,0,1.1,5,6,1.0,False,83.0,8,2,1,0
8,14,0,1.1,5,7,1.0,False,86.0,7,3,1,0
