n,days,seed,coverage_ratio,regime,coverage_mode,z_greedy,feas_greedy,t_greedy,z_sa,feas_sa,t_sa,sa_stop,sa_iters,z_exact,proven,gap_solver,dual_bound,match,n_vars,n_cons,t_exact,ref,dz_greedy,gap_greedy,dz_sa,gap_sa,exact_error,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref,exact_p_cob,exact_p_erg,exact_p_car,exact_p_gua,exact_p_cal,exact_p_over,exact_pref
8,14,0,1.1,bounded,hard,7.618230718103318,False,0.024366874997213017,0.4728487886382623,True,1.5424752500039176,max_iterations,100000,0.44728487886382623,False,0.16025401568920455,0.37560568086883867,True,502,872,300.7627284170012,0.37560568086883867,7.242625037234479,19.28252261914963,0.09724310776942363,0.25889679715302516,,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0,0.0,4.0,5.75,2.0,1.0,0.0,0.0
8,14,1,1.1,bounded,hard,20.150806789857157,False,0.038807000004453585,0.6442773600668337,True,2.466965583000274,max_iterations,100000,0.44728487886382623,False,0.16081560244402515,0.3753544916052372,True,494,844,300.76301349999994,0.3753544916052372,19.77545229825192,52.68473600430468,0.26892286846159646,0.7164503808427166,,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,32.75,1.0,1.0,0.0,0.0,0.0,4.0,5.75,2.0,1.0,0.0,0.0
8,14,2,1.1,bounded,hard,0.7088995470290435,True,0.028697874993667938,0.4501865174527045,True,1.610212125000544,max_iterations,100000,0.4501865174527045,False,0.20599672531476046,0.3574490807592941,True,510,880,300.26949608299765,0.3574490807592941,0.35145046626974935,0.9832182685242818,0.09273743669341039,0.2594423700752491,,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,3,1.1,certified,hard,1.5201326043237808,False,0.042624708999937866,0.4517094017094017,True,1.8663339580016327,max_iterations,100000,0.41551030668677724,True,0.0,0.415510306686777,True,498,853,4.811796500005585,0.41551030668677724,1.1046222976370035,2.6584714743783655,0.03619909502262447,0.08711960796176427,,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0
8,14,4,1.1,bounded,hard,1.3998253480548895,False,0.05389504099730402,0.500452970956568,True,1.9318958340008976,max_iterations,100000,0.4501865174527045,False,0.2234747669692327,0.3495811750130861,True,498,863,300.3807169169959,0.3495811750130861,1.0502441730418033,3.004292702553245,0.15087179594348193,0.4315787197003221,,0.0,4.0,80.5,5.0,2.0,23.0,0.0,0.0,4.0,15.25,2.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,0,1.3,certified,hard,25.40881541543558,False,0.0427152499978547,0.4576867333691467,True,1.8154656249971595,max_iterations,100000,0.409779299847793,True,7.265739970886012e-05,0.4097495263494114,True,502,872,93.40026845800458,0.409779299847793,24.99903611558779,61.0060979773096,0.04790743352135374,0.11691033085162747,,4.0,4.0,105.25,6.0,2.0,20.0,0.0,0.0,4.0,19.75,1.0,1.0,28.0,0.0,0.0,4.0,21.0,0.0,1.0,32.0,0.0
8,14,1,1.3,certified,hard,37.59986235096366,False,0.06825254199793562,0.3758357915437562,True,1.9074682080026832,max_iterations,100000,0.3758357915437562,True,0.0,0.37583578152174535,True,494,844,0.06517033399723005,0.3758357915437562,37.224026559419904,99.04332529512732,0.0,0.0,,6.0,2.0,151.5,6.0,2.0,20.0,0.0,0.0,4.0,14.0,0.0,1.0,32.0,0.0,0.0,4.0,14.0,0.0,1.0,32.0,0.0
8,14,2,1.3,certified,hard,13.186721158589222,True,0.03136170899961144,0.42513102725366875,True,1.644532958001946,max_iterations,100000,0.41394553890738683,True,0.0,0.41394553890738683,True,510,880,1.486428000003798,0.41394553890738683,12.772775619681836,30.856174107820312,0.011185488346281913,0.02702164245037189,,2.0,4.0,73.0,5.0,2.0,20.0,0.0,0.0,4.0,28.0,0.0,1.0,16.0,0.0,0.0,4.0,4.0,2.0,1.0,4.0,0.0
8,14,3,1.3,certified,hard,37.59986235096366,False,0.07466329199814936,0.4518399072387067,True,2.084698541999387,max_iterations,100000,0.3758357915437562,True,3.090457247491475e-08,0.3758357699067032,True,498,853,0.9756888330011861,0.3758357915437562,37.224026559419904,99.04332529512732,0.07600411569495052,0.20222692304732728,,6.0,2.0,151.5,6.0,2.0,20.0,0.0,0.0,4.0,17.0,1.0,1.0,35.0,0.0,0.0,4.0,14.0,0.0,1.0,32.0,0.0
8,14,4,1.3,certified,hard,61.954801360769935,False,0.05265225000039209,0.6224582375354271,True,1.9152925410016906,max_iterations,100000,0.3758357915437562,True,2.735184876418611e-08,0.3758357812639523,True,498,863,0.8216455000001588,0.3758357915437562,61.57896556922618,163.84539991864222,0.24662244599167088,0.6561973381477645,,10.0,2.0,219.5,6.0,2.0,20.0,0.0,0.0,4.0,40.5,2.0,1.0,41.0,0.0,0.0,4.0,14.0,0.0,1.0,32.0,0.0
