n,days,seed,coverage_ratio,regime,coverage_mode,z_greedy,feas_greedy,t_greedy,z_sa,feas_sa,t_sa,sa_stop,sa_iters,z_exact,proven,gap_solver,dual_bound,match,n_vars,n_cons,t_exact,ref,dz_greedy,gap_greedy,dz_sa,gap_sa,exact_error,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref,exact_p_cob,exact_p_erg,exact_p_car,exact_p_gua,exact_p_cal,exact_p_over,exact_pref
20,14,0,1.1,bounded,hard,1.504561493310287,False,0.3064295829972252,0.4752091481551522,True,3.9322754579770844,max_iterations,182400,0.44336557273615773,False,0.150656491327595,0.3765696711722787,True,1242,2140,300.2253844170191,0.3765696711722787,1.1279918221380085,2.9954399105656018,0.09863947698287351,0.2619421704244112,,0.0,7.0,226.39999999999998,6.0,2.0,20.0,0.0,0.0,7.0,53.400000000000034,1.0,1.0,0.0,0.0,0.0,7.0,42.0,1.0,1.0,0.0,0.0
20,14,1,1.1,bounded,hard,13.259187858095462,False,0.6420023329847027,0.5251902330532896,True,4.623975041991798,max_iterations,179200,0.4409059039714669,False,0.11971714974520593,0.3881219058421692,True,1234,2102,301.4151332080073,0.3881219058421692,12.871065952253293,33.16243107774325,0.1370683272111204,0.35315792576484867,,2.0,6.0,223.60000000000002,5.0,1.0,0.0,0.0,0.0,8.0,64.39999999999998,1.0,1.0,0.0,0.0,0.0,8.0,16.900000000000034,2.0,1.0,0.0,0.0
20,14,2,1.1,bounded,hard,1.4998431307050781,False,0.5042762090160977,0.4970233902801209,True,7.156495708011789,max_iterations,182400,0.398078799251097,False,0.05618935482599794,0.37571100835127,True,1242,2140,300.08466937500634,0.37571100835127,1.124132122353808,2.992012736828844,0.12131238192885085,0.32288748328457323,,0.0,7.0,237.29999999999998,6.0,2.0,23.0,0.0,0.0,7.0,64.80000000000001,1.0,1.0,0.0,0.0,0.0,7.0,27.299999999999983,1.0,1.0,0.0,0.0
20,14,3,1.1,bounded,hard,13.264360051669746,False,0.7585364170081448,0.5201492954952787,True,5.139811833010754,max_iterations,179200,0.4601972188179623,False,0.10887766263841298,0.41009202128036426,True,1234,2092,300.508115042001,0.41009202128036426,12.854268030389381,31.344838142074966,0.1100572742149144,0.26837214211410476,,2.0,6.0,215.7,5.0,1.0,0.0,0.0,0.0,9.0,58.50000000000006,1.0,1.0,0.0,0.0,0.0,8.0,41.30000000000001,1.0,1.0,0.0,0.0
20,14,4,1.1,bounded,hard,1.4103621905782373,False,0.5406202910235152,0.511869054790187,True,5.0918194169935305,max_iterations,182400,0.4315265890367622,False,0.13278007293402502,0.3742284570714899,True,1242,2130,300.3203270829981,0.3742284570714899,1.0361337335067473,2.768719785809372,0.13764059771869708,0.36779831976381,,0.0,7.0,222.0,5.0,2.0,3.0,0.0,0.0,8.0,66.0,1.0,1.0,0.0,0.0,0.0,7.0,38.5,1.0,1.0,0.0,0.0
30,14,0,1.1,certified,hard,13.038356081055703,False,1.4784408340055961,0.4680871507109829,True,9.69803141700686,max_iterations,273600,0.3665796130225405,True,9.431076820823635e-05,0.36654501278875384,True,1860,3183,22.19026070801192,0.3665796130225405,12.671776468033162,34.567597372781314,0.1015075376884424,0.27690448154355174,,2.0,7.0,278.19999999999993,5.0,1.0,0.0,0.0,0.0,9.0,86.0,1.0,1.0,0.0,0.0,0.0,9.0,25.39999999999992,1.0,1.0,0.0,0.0
30,14,1,1.1,bounded,hard,1.3225742450632172,False,1.6006650420022197,0.5466463203141243,True,9.458596832992043,max_iterations,272000,0.40030771457305814,False,0.051365534102748425,0.3797456950085627,True,1856,3154,300.2096938750183,0.3797456950085627,0.9428285500546545,2.482789304651354,0.1669006253055616,0.43950629987207157,,0.0,9.0,295.3333333333333,5.0,2.0,3.0,0.0,0.0,9.0,126.66666666666669,1.0,1.0,0.0,0.0,0.0,9.0,43.39999999999998,1.0,1.0,0.0,0.0
30,14,2,1.1,certified,hard,19.371432240830764,False,1.7151474590064026,0.5177572104977575,True,8.531280958995922,max_iterations,272000,0.38906281419504235,True,2.109652731211164e-07,0.3890627321162995,True,1856,3184,15.598859207995702,0.38906281419504235,18.98236942663572,48.78998643422038,0.12869439630271512,0.33078051051725266,,3.0,9.0,281.79999999999995,6.0,2.0,20.0,0.0,0.0,10.0,110.0,1.0,1.0,0.0,0.0,0.0,9.0,37.66666666666666,1.0,1.0,0.0,0.0
30,14,3,1.1,bounded,hard,1.0787674865731234,False,1.4262192909955047,0.5265365161825493,True,9.025957957986975,max_iterations,272000,0.37729123316368124,False,0.03637011868685861,0.36356910623400707,True,1856,3144,300.7425270419917,0.36356910623400707,0.7151983803391163,1.9671593875162405,0.1629674099485422,0.44824328347538445,,0.0,8.0,297.5333333333333,5.0,1.0,0.0,0.0,0.0,9.0,117.0,1.0,1.0,0.0,0.0,0.0,8.0,31.93333333333328,1.0,1.0,0.0,0.0
30,14,4,1.1,bounded,hard,19.262883031360364,False,1.152924041991355,0.4775040897150499,True,8.20502620798652,max_iterations,270400,0.42915244136340147,False,0.15855132614892642,0.3611097332028418,True,1852,3165,300.0681695000094,0.3611097332028418,18.901773298157522,52.3435719400564,0.11639435651220809,0.32232406332517016,,3.0,6.0,339.19999999999993,6.0,1.0,26.0,0.0,0.0,9.0,84.00000000000003,1.0,1.0,0.0,0.0,0.0,9.0,57.599999999999994,1.0,1.0,0.0,0.0
