n,days,seed_inst,coverage_ratio,seed_sa,z_greedy,feas_greedy,z_sa,feas_sa,t_sa,sa_iters,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref
8,14,0,1.1,0,7.618230718103318,False,0.4728487886382623,True,1.7974521669966634,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,1,7.618230718103318,False,0.4728487886382623,True,1.726721582992468,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,2,7.618230718103318,False,0.4728487886382623,True,1.6857147090049693,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,3,7.618230718103318,False,0.4990392648287385,True,1.6853995420096908,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,17.5,1.0,1.0,0.0,0.0
8,14,0,1.1,4,7.618230718103318,False,0.4728487886382623,True,1.7754760840034578,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,5,7.618230718103318,False,0.4728487886382623,True,1.678581458007102,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,6,7.618230718103318,False,0.4728487886382623,True,1.6794585419993382,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,7,7.618230718103318,False,0.4728487886382623,True,1.6870072080055252,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,8,7.618230718103318,False,0.4728487886382623,True,1.6889267090009525,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,9,7.618230718103318,False,0.4728487886382623,True,1.8725803749985062,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,10,7.618230718103318,False,0.4728487886382623,True,1.8967595830035862,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,11,7.618230718103318,False,0.4901420217209691,True,1.8769320839928696,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,10.25,2.0,1.0,0.0,0.0
8,14,0,1.1,12,7.618230718103318,False,0.4728487886382623,True,1.9293978749919916,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,13,7.618230718103318,False,0.5615705931495405,True,1.81647599999269,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,17.75,2.0,1.0,0.0,0.0
8,14,0,1.1,14,7.618230718103318,False,0.4728487886382623,True,1.7490686669916613,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,15,7.618230718103318,False,0.4728487886382623,True,1.680526790994918,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,16,7.618230718103318,False,0.4728487886382623,True,1.6759056250011781,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,17,7.618230718103318,False,0.4728487886382623,True,1.752877457998693,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,18,7.618230718103318,False,0.4901420217209691,True,1.7053261249966454,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,10.25,2.0,1.0,0.0,0.0
8,14,0,1.1,19,7.618230718103318,False,0.4728487886382623,True,1.7700365829950897,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,20,7.618230718103318,False,0.4728487886382623,True,1.7132937080023112,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,21,7.618230718103318,False,0.4728487886382623,True,1.6989420839963714,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,22,7.618230718103318,False,0.4728487886382623,True,1.802127417002339,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,23,7.618230718103318,False,0.4728487886382623,True,1.8742241669970099,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,24,7.618230718103318,False,0.44728487886382623,True,1.7631111670052633,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,5.75,2.0,1.0,0.0,0.0
8,14,0,1.1,25,7.618230718103318,False,0.4728487886382623,True,1.6796462920028716,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
