n,days,seed_inst,coverage_ratio,seed_sa,z_greedy,feas_greedy,z_sa,feas_sa,t_sa,sa_iters,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref
40,28,4,1.1,0,49.328168949825674,False,0.5976239248597947,True,55.64648179098731,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,27.0,436.5000000000001,2.0,2.0,0.0,0.0
40,28,4,1.1,1,49.328168949825674,False,0.6026487373159307,True,60.54506562498864,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,26.0,445.70000000000016,2.0,2.0,1.0,0.0
40,28,4,1.1,2,49.328168949825674,False,0.6521451497130809,True,74.8094162499765,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,27.0,472.4000000000001,3.0,2.0,8.0,0.0
40,28,4,1.1,3,49.328168949825674,False,0.5900636616659283,True,83.24245262501063,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,24.0,428.9500000000001,2.0,2.0,1.0,0.0
40,28,4,1.1,4,49.328168949825674,False,0.6509337844121129,True,89.18206791603006,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,25.0,474.9500000000001,3.0,2.0,1.0,0.0
40,28,4,1.1,5,49.328168949825674,False,0.6309968377521219,True,91.49935595894931,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,25.0,491.9500000000001,2.0,2.0,0.0,0.0
40,28,4,1.1,6,49.328168949825674,False,0.6021403042773793,True,93.04171645798488,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,25.0,398.5000000000001,3.0,2.0,0.0,0.0
40,28,4,1.1,7,49.328168949825674,False,0.6490540040072589,True,92.626490249997,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,29.0,465.75000000000006,3.0,2.0,2.0,0.0
40,28,4,1.1,8,49.328168949825674,False,0.5578867043139232,True,86.59776808298193,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,24.0,378.4000000000001,2.0,2.0,1.0,0.0
40,28,4,1.1,9,49.328168949825674,False,0.5956641246345584,True,91.59876112500206,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,29.0,430.4000000000001,2.0,2.0,0.0,0.0
40,28,4,1.1,10,49.328168949825674,False,0.6040738114430909,True,89.00230820901925,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,27.0,350.4000000000001,4.0,2.0,0.0,0.0
40,28,4,1.1,11,49.328168949825674,False,0.623857827617078,True,87.09827299998142,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,25.0,431.8000000000002,3.0,2.0,4.0,0.0
40,28,4,1.1,12,49.328168949825674,False,0.562848793880017,True,82.95709345804062,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,24.0,386.4000000000001,2.0,2.0,0.0,0.0
40,28,4,1.1,13,49.328168949825674,False,0.5947142152187037,True,93.07875654101372,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,25.0,434.9500000000001,2.0,2.0,0.0,0.0
40,28,4,1.1,14,49.328168949825674,False,0.5518183380214262,True,97.84773604100337,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,26.0,366.0500000000001,2.0,2.0,0.0,0.0
40,28,4,1.1,15,49.328168949825674,False,0.6138844163079331,True,96.09753695799736,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,25.0,416.9500000000001,3.0,2.0,0.0,0.0
